71.4,0.2,15
0.088
0.084
0.07968
0.0749
0.08
0.0967
0.108
0.10259
0.09288
0.07799
0.06993
0.05548
0.05298
0.05502
0.06581
0.08335
0.09924
0.11893
0.12159
0.11176
0.09955
0.09
0.08145
0.07438
