71.4,0.2,7.14
0.10334
0.096
0.1003
0.12379
0.12346
0.10599
0.09318
0.0195
-0.00002
-0.00908
-0.03
-0.0579
-0.0274
-0.00515
0.0
0.08136
0.10681
0.12692
0.14495
0.14599
0.12249
0.11001
0.11063
0.09543
