71.4,0.2,15
0.09862
0.1
0.09798
0.1
0.10065
0.09465
0.0913
0.09271
0.06808
0.04
0.01552
0.00891
0.00836
0.01037
0.05636
0.10017
0.10437
0.12311
0.1400
0.1321
0.12277
0.113
0.1007
0.0994
